Frequency1;Frequency2;Frequency3;Privacy1;Privacy2;Privacy3;Privacy4;Usefulness1;Usefulness2;Usefulness3;Accuracy1;Accuracy2;Accuracy3;Accuracy4;Accuracy5;Future1;Future2;Future3;Future4;Subscription1;Subscription2;Subscription3;Subscription4;Subscription5;WOM1;WOM2;WOM3;WOM4
2.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;1.000000000000;1.000000000000;4.000000000000;5.000000000000;4.000000000000;2.000000000000;1.000000000000;2.000000000000;5.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000
2.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;1.000000000000;1.000000000000;2.000000000000;45.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000
4.000000000000;2.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;4.000000000000;1.000000000000;2.000000000000;3.000000000000;10.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000
4.000000000000;1.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;1.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;2.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000;2.000000000000;1.000000000000;1.000000000000;0.000000000000;1.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000
2.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;5.000000000000;5.000000000000;1.000000000000;1.000000000000;2.000000000000;5.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.000000000000;3.000000000000;5.000000000000;5.000000000000;2.000000000000;2.000000000000;5.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;1.000000000000;2.000000000000;5.000000000000;1.000000000000;4.000000000000;2.000000000000;1.000000000000;3.000000000000;10.000000000000;1.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000
4.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;1.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;1.000000000000;1.000000000000;0.000000000000;1.000000000000;3.000000000000;2.000000000000;2.000000000000;3.000000000000
2.000000000000;1.000000000000;3.000000000000;3.000000000000;1.000000000000;3.000000000000;3.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;1.000000000000;3.000000000000;8.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000
3.000000000000;2.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;2.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;2.000000000000;3.000000000000;5.000000000000;1.000000000000;5.000000000000;2.000000000000;2.000000000000;3.000000000000
3.000000000000;2.000000000000;4.000000000000;5.000000000000;4.000000000000;2.000000000000;5.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;5.000000000000;3.000000000000;5.000000000000;2.000000000000;1.000000000000;1.000000000000;0.000000000000;2.000000000000;4.000000000000;1.000000000000;2.000000000000;3.000000000000
4.000000000000;3.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;3.000000000000;2.000000000000;1.000000000000;5.000000000000;5.000000000000;1.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;1.000000000000;3.000000000000;0.000000000000;1.000000000000;5.000000000000;2.000000000000;1.000000000000;4.000000000000
4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;2.000000000000;2.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;1.000000000000;1.000000000000;0.000000000000;1.000000000000;5.000000000000;2.000000000000;2.000000000000;2.000000000000
1.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;2.000000000000;3.000000000000;4.000000000000;1.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;4.000000000000;1.000000000000;2.000000000000;3.000000000000;10.000000000000;3.000000000000;5.000000000000;2.000000000000;2.000000000000;3.000000000000
2.000000000000;4.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;1.000000000000;2.000000000000;2.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;1.000000000000;1.000000000000;2.000000000000;15.000000000000;2.000000000000;3.000000000000;1.000000000000;2.000000000000;1.000000000000
4.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;5.000000000000;5.000000000000;4.000000000000;1.000000000000;1.000000000000;2.000000000000;10.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;1.000000000000;5.000000000000;5.000000000000;3.000000000000;1.000000000000;1.000000000000;3.000000000000;20.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000
